title,box_office,metacritic,box_office_url,metacritic_url,box_office_error,metacritic_error,fetched_at
Thunderbolts*,190274328,68,https://www.boxofficemojo.com/title/tt20969586/,https://www.metacritic.com/movie/thunderbolts/,,,2026-06-14T06:53:19+00:00
Friendship,16252948,72,https://www.boxofficemojo.com/title/tt30505698/,https://www.metacritic.com/movie/friendship/,,,2026-06-14T06:53:19+00:00
Final Destination Bloodlines,138254739,73,https://www.boxofficemojo.com/title/tt9619824/,https://www.metacritic.com/movie/final-destination-bloodlines/,,,2026-06-14T06:53:19+00:00
Lilo & Stitch,423778855,53,https://www.boxofficemojo.com/title/tt11655566/,https://www.metacritic.com/movie/lilo-stitch-2025/,,,2026-06-14T06:53:19+00:00
Mission: Impossible - The Final Reckoning,197413515,67,https://www.boxofficemojo.com/title/tt9603208/,https://www.metacritic.com/movie/mission-impossible-the-final-reckoning/,,,2026-06-14T06:53:19+00:00
Bring Her Back,19333305,75,https://www.boxofficemojo.com/title/tt32246771/,https://www.metacritic.com/movie/bring-her-back/,,,2026-06-14T06:53:19+00:00
Karate Kid: Legends,52547391,51,https://www.boxofficemojo.com/title/tt1674782/,https://www.metacritic.com/movie/karate-kid-legends/,,,2026-06-14T06:53:19+00:00
The Phoenician Scheme,19555015,70,https://www.boxofficemojo.com/title/tt30840798/,https://www.metacritic.com/movie/the-phoenician-scheme/,,,2026-06-14T06:53:19+00:00
Ballerina,58051327,59,https://www.boxofficemojo.com/title/tt7181546/,https://www.metacritic.com/movie/ballerina/,,,2026-06-14T06:53:19+00:00
The Life of Chuck,6712600,67,https://www.boxofficemojo.com/title/tt12908150/,https://www.metacritic.com/movie/the-life-of-chuck/,,,2026-06-14T06:53:19+00:00
How to Train Your Dragon,262958100,61,https://www.boxofficemojo.com/title/tt26743210/,https://www.metacritic.com/movie/how-to-train-your-dragon-2025/,,,2026-06-14T06:53:19+00:00
Materialists,36521973,70,https://www.boxofficemojo.com/title/tt30253473/,https://www.metacritic.com/movie/materialists/,,,2026-06-14T06:53:19+00:00
28 Years Later: The Bone Temple,25147583,81,https://www.boxofficemojo.com/title/tt32141377/,https://www.metacritic.com/movie/28-years-later-the-bone-temple/,,,2026-06-14T06:53:19+00:00
Elio,72987454,66,https://www.boxofficemojo.com/title/tt4900148/,https://www.metacritic.com/movie/elio/,,,2026-06-14T06:53:19+00:00
F1,189642436,68,https://www.boxofficemojo.com/title/tt16311594/,https://www.metacritic.com/movie/f1-the-movie/,,,2026-06-14T06:53:19+00:00
M3GAN 2.0,24101280,54,https://www.boxofficemojo.com/title/tt26342662/,https://www.metacritic.com/movie/m3gan-20/,,,2026-06-14T06:53:19+00:00
Jurassic World Rebirth,339640400,50,https://www.boxofficemojo.com/title/tt31036941/,https://www.metacritic.com/movie/jurassic-world-rebirth/,,,2026-06-14T06:53:19+00:00
Superman,354223803,68,https://www.boxofficemojo.com/title/tt5950044/,https://www.metacritic.com/movie/superman-2025/,,,2026-06-14T06:53:19+00:00
Eddington,10223277,65,https://www.boxofficemojo.com/title/tt31176520/,https://www.metacritic.com/movie/eddington/,,,2026-06-14T06:53:19+00:00
Smurfs,31075170,31,https://www.boxofficemojo.com/title/tt18069420/,https://www.metacritic.com/movie/smurfs/,,,2026-06-14T06:53:19+00:00
I Know What You Did Last Summer,32165634,42,https://www.boxofficemojo.com/title/tt4045450/,https://www.metacritic.com/movie/i-know-what-you-did-last-summer-2025/,,,2026-06-14T06:53:19+00:00
The Fantastic 4: First Steps,274286610,65,https://www.boxofficemojo.com/title/tt10676052/,https://www.metacritic.com/movie/the-fantastic-four-first-steps/,,,2026-06-14T06:53:19+00:00
The Bad Guys 2,82593605,64,https://www.boxofficemojo.com/title/tt30017619/,https://www.metacritic.com/movie/the-bad-guys-2/,,,2026-06-14T06:53:19+00:00
The Naked Gun,52647396,75,https://www.boxofficemojo.com/title/tt3402138/,https://www.metacritic.com/movie/the-naked-gun/,,,2026-06-14T06:53:19+00:00
Together,21273159,75,https://www.boxofficemojo.com/title/tt31184028/,https://www.metacritic.com/movie/together-2025/,,,2026-06-14T06:53:19+00:00
Freakier Friday,94186236,60,https://www.boxofficemojo.com/title/tt31956415/,https://www.metacritic.com/movie/freakier-friday/,,,2026-06-14T06:53:19+00:00
Weapons,151572492,81,https://www.boxofficemojo.com/title/tt26581740/,https://www.metacritic.com/movie/weapons/,,,2026-06-14T06:53:19+00:00
Nobody 2,21604985,59,https://www.boxofficemojo.com/title/tt28996126/,https://www.metacritic.com/movie/nobody-2/,,,2026-06-14T06:53:19+00:00
Honey Don't!,5810510,46,https://www.boxofficemojo.com/title/tt30645201/,https://www.metacritic.com/movie/honey-dont/,,,2026-06-14T06:53:19+00:00
Caught Stealing,19005242,65,https://www.boxofficemojo.com/title/tt1493274/,https://www.metacritic.com/movie/caught-stealing/,,,2026-06-14T06:53:19+00:00
The Roses,15298844,58,https://www.boxofficemojo.com/title/tt31973693/,https://www.metacritic.com/movie/the-roses/,,,2026-06-14T06:53:19+00:00
