title,box_office,metacritic,box_office_error,metacritic_error
The Devil Wears Prada 2,220556651,63,,
Hokum,17000014,76,,
The Sheep Detectives,66078506,72,,
Billie Eilish - Hit Me Hard and Soft: The Tour (Live in 3D),9901485,73,,
Mortal Kombat II,79770110,46,,
Is God Is,4945741,83,,
Obsession,262444890,77,,
In the Grey,5723890,53,,
I Love Boosters,9743067,71,,
Passenger,18041122,52,,
The Mandalorian and Grogu,177708846,53,,
Pressure,15569855,69,,
The Breadwinner,20247080,33,,
Tuner,4511186,75,,
Backrooms,197054618,77,,
Masters of the Universe,64830245,52,,
Power Ballad,2612490,67,,
Scary Movie,108277762,38,,
Disclosure Day,116444260,74,,
Stop! That! Train!,4027857,59,,
Toy Story 5,457196126,73,,
The Death of Robin Hood,5319728,60,,
Girls Like Girls,2735660,70,,
Supergirl,71986393,50,,
Jackass: Best and Last,18273185,63,,
The Invite,21887539,82,,
Minions & Monsters,164215365,70,,
Young Washington,46068500,49,,
Moana,111083124,42,,
Gail Daughtry and the Celebrity Sex Pass,1428010,66,,
The Odyssey,359025415,88,,
Cut Off,,,domestic gross not found,missing Metacritic ID
Evil Dead Burn,30915645,54,,
Spider-Man: Brand New Day,168000000,66,,
Fall 2: Deadpoint,,,domestic gross not found,Metascore not found
Ice Cream Man,,,domestic gross not found,Metascore not found
One Night Only,,,domestic gross not found,Metascore not found
Super Troopers 3,,,domestic gross not found,Metascore not found
The End of Oak Street,,,domestic gross not found,Metascore not found
PAW Patrol: The Dino Movie,1190505,,,Metascore not found
The Rivals of Amziah King,,65,domestic gross not found,
Insidious: Out of the Further,,,domestic gross not found,Metascore not found
Mutiny,,,domestic gross not found,missing Metacritic ID
Spa Weekend,,,domestic gross not found,Metascore not found
Cliffhanger,,,domestic gross not found,Metascore not found
Coyote vs. Acme,,,domestic gross not found,Metascore not found
The Dog Stars,,,domestic gross not found,Metascore not found
Finding Emily,1465075,71,,
Idiots,,67,domestic gross not found,
